gene_id	symbol	description	biotype	locus	has_ortholog	human_gene_name
ENSCAFG00000000493	OSR2	odd-skipped related transciption factor 2 [Source:VGNC Symbol;Acc:VGNC:44169]	protein_coding	13:1023879-1031225	1	OSR2
ENSCAFG00000000866	DACT2	dishevelled binding antagonist of beta catenin 2 [Source:VGNC Symbol;Acc:VGNC:39762]	protein_coding	1:55726819-55736505	1	DACT2
ENSCAFG00000012614	KCNK2	potassium two pore domain channel subfamily K member 2 [Source:VGNC Symbol;Acc:VGNC:42274]	protein_coding	7:12894149-13090110	1	KCNK2
ENSCAFG00000023431	ADGRB3	adhesion G protein-coupled receptor B3 [Source:VGNC Symbol;Acc:VGNC:37635]	protein_coding	12:31340176-32054228	1	ADGRB3
ENSCAFG00000023666	PRDM6	PR/SET domain 6 [Source:VGNC Symbol;Acc:VGNC:44950]	protein_coding	11:12943432-13044673	1	PRDM6
ENSCAFG00000011799	GPM6B	glycoprotein M6B [Source:VGNC Symbol;Acc:VGNC:41386]	protein_coding	X:10214933-10374837	1	GPM6B
ENSCAFG00000016823	PAPLN	papilin, proteoglycan like sulfated glycoprotein [Source:VGNC Symbol;Acc:VGNC:49735]	protein_coding	8:46592854-46618612	1	PAPLN
ENSCAFG00000000473	TRHDE	thyrotropin releasing hormone degrading enzyme [Source:VGNC Symbol;Acc:VGNC:47798]	protein_coding	10:13744591-14115437	1	TRHDE
ENSCAFG00000017261	MEGF11	multiple EGF like domains 11 [Source:VGNC Symbol;Acc:VGNC:59120]	protein_coding	30:30227160-30561562	1	MEGF11
ENSCAFG00000008999	PROS1	protein S [Source:VGNC Symbol;Acc:VGNC:53085]	protein_coding	33:1628105-1692058	1	PROS1
ENSCAFG00000019533	PTGDS	prostaglandin D2 synthase [Source:VGNC Symbol;Acc:VGNC:55792]	protein_coding	9:48646255-48669814	1	PTGDS
ENSCAFG00000025353		papilin-like [Source:NCBI gene;Acc:100684659]	protein_coding	JH374147.1:1-8089	0	<none>
ENSCAFG00000001488	MDGA1	MAM domain containing glycosylphosphatidylinositol anchor 1 [Source:VGNC Symbol;Acc:VGNC:43101]	protein_coding	12:6659910-6686760	1	MDGA1
ENSCAFG00000009951	SPAG17	sperm associated antigen 17 [Source:VGNC Symbol;Acc:VGNC:46695]	protein_coding	17:55248137-55467902	1	SPAG17
ENSCAFG00000010028	IFITM10	interferon induced transmembrane protein 10 [Source:VGNC Symbol;Acc:VGNC:51876]	protein_coding	18:45999103-46006202	1	IFITM10
ENSCAFG00000009183	KCNJ3	potassium inwardly rectifying channel subfamily J member 3 [Source:VGNC Symbol;Acc:VGNC:42264]	protein_coding	36:1354678-1493766	1	KCNJ3
ENSCAFG00000018531	DLGAP1	DLG associated protein 1 [Source:VGNC Symbol;Acc:VGNC:39979]	protein_coding	7:70081885-70406213	1	DLGAP1
ENSCAFG00000041270			lncRNA	16:35552501-35573649	0	<none>
ENSCAFG00000010784	TNNI1	troponin I1, slow skeletal type [Source:VGNC Symbol;Acc:VGNC:47688]	protein_coding	7:1647377-1658724	1	TNNI1
ENSCAFG00000013881	RIMKLB	ribosomal modification protein rimK like family member B [Source:VGNC Symbol;Acc:VGNC:45581]	protein_coding	27:36931987-36993355	1	RIMKLB
ENSCAFG00000020401	LHX8	LIM homeobox 8 [Source:VGNC Symbol;Acc:VGNC:42668]	protein_coding	6:71329820-71352945	1	LHX8
ENSCAFG00000018422	FBN3	fibrillin 3 [Source:VGNC Symbol;Acc:VGNC:40756]	protein_coding	20:52724651-52776884	1	FBN3
ENSCAFG00000006634	JAKMIP2	janus kinase and microtubule interacting protein 2 [Source:VGNC Symbol;Acc:VGNC:42178]	protein_coding	2:41907540-42078116	1	JAKMIP2
ENSCAFG00000007334	STAB2	stabilin 2 [Source:VGNC Symbol;Acc:VGNC:46869]	protein_coding	15:42187790-42328883	1	STAB2
ENSCAFG00000009443	IRX5	iroquois homeobox 5 [Source:VGNC Symbol;Acc:VGNC:52139]	protein_coding	2:60968193-61041385	1	IRX5
ENSCAFG00000014838	GRIA4	glutamate ionotropic receptor AMPA type subunit 4 [Source:VGNC Symbol;Acc:VGNC:41483]	protein_coding	5:26272970-26642100	1	GRIA4
ENSCAFG00000005766	SYT1	synaptotagmin 1 [Source:VGNC Symbol;Acc:VGNC:47040]	protein_coding	15:21834763-22042732	1	SYT1
ENSCAFG00000019915	FOXL1	forkhead box L1 [Source:VGNC Symbol;Acc:VGNC:40958]	protein_coding	5:66283528-66284598	1	FOXL1
ENSCAFG00000013466	LRRC15	leucine rich repeat containing 15 [Source:VGNC Symbol;Acc:VGNC:42786]	protein_coding	33:31332496-31342583	1	LRRC15
ENSCAFG00000018850	HS6ST2	heparan sulfate 6-O-sulfotransferase 2 [Source:VGNC Symbol;Acc:VGNC:41794]	protein_coding	X:103531378-103815538	1	HS6ST2
ENSCAFG00000018254	GREB1L	GREB1 like retinoic acid receptor coactivator [Source:VGNC Symbol;Acc:VGNC:53615]	protein_coding	7:66503999-66639013	1	GREB1L
ENSCAFG00000009884	MMRN1	multimerin 1 [Source:VGNC Symbol;Acc:VGNC:43291]	lncRNA	32:13110969-13184649	0	<none>
ENSCAFG00000004944	PCDH9	protocadherin 9 [Source:VGNC Symbol;Acc:VGNC:49937]	protein_coding	22:21327856-22213083	1	PCDH9
ENSCAFG00000049909			protein_coding	1:107309319-107316745	0	<none>
ENSCAFG00000004165	NDNF	neuron derived neurotrophic factor [Source:VGNC Symbol;Acc:VGNC:43676]	protein_coding	19:19036372-19049937	1	NDNF
ENSCAFG00000003438	COBL	cordon-bleu WH2 repeat protein [Source:VGNC Symbol;Acc:VGNC:39445]	protein_coding	18:2208260-2459206	1	COBL
ENSCAFG00000000786	CSMD3	CUB and Sushi multiple domains 3 [Source:VGNC Symbol;Acc:VGNC:39663]	protein_coding	13:12401565-13569798	1	CSMD3
ENSCAFG00000002313	OGN	osteoglycin [Source:VGNC Symbol;Acc:VGNC:44110]	protein_coding	1:98939429-98957543	1	OGN
ENSCAFG00000001380	NTRK2	neurotrophic receptor tyrosine kinase 2 [Source:VGNC Symbol;Acc:VGNC:44012]	protein_coding	1:74449060-74777032	1	NTRK2
ENSCAFG00000016867	HOXB9	homeobox B9 [Source:VGNC Symbol;Acc:VGNC:41755]	protein_coding	9:24872950-24889376	1	HOXB9
ENSCAFG00000006134	KERA	keratocan [Source:VGNC Symbol;Acc:VGNC:42334]	protein_coding	15:31670924-31758871	1	KERA
ENSCAFG00000000681	FBN2	fibrillin 2 [Source:VGNC Symbol;Acc:VGNC:40755]	protein_coding	11:17311226-17551536	1	FBN2
ENSCAFG00000003580	GRIK2	glutamate ionotropic receptor kainate type subunit 2 [Source:VGNC Symbol;Acc:VGNC:41487]	protein_coding	12:59355017-59990408	1	GRIK2
ENSCAFG00000002919	EFEMP1	EGF containing fibulin extracellular matrix protein 1 [Source:VGNC Symbol;Acc:VGNC:40220]	protein_coding	10:56579899-56787187	1	EFEMP1
ENSCAFG00000001071		SOGA family member 3 [Source:NCBI gene;Acc:484118]	protein_coding	1:66143070-66207412	1	SOGA3
ENSCAFG00000031118		uncharacterized LOC102154778 [Source:NCBI gene;Acc:102154778]	protein_coding	17:36697641-36724872	0	<none>
ENSCAFG00000000093	CCBE1	collagen and calcium binding EGF domains 1 [Source:VGNC Symbol;Acc:VGNC:38775]	protein_coding	1:16597334-16819894	1	CCBE1
ENSCAFG00000001362	PLXNA4	plexin A4 [Source:VGNC Symbol;Acc:VGNC:44721]	protein_coding	14:4680882-5103050	1	PLXNA4
ENSCAFG00000006212	SEMA3A	semaphorin 3A [Source:VGNC Symbol;Acc:VGNC:45987]	protein_coding	18:23414576-23867098	1	SEMA3A
ENSCAFG00000007698	ZNF827	zinc finger protein 827 [Source:NCBI gene;Acc:610376]	protein_coding	15:44303300-44468680	1	ZNF827
ENSCAFG00000049291			lncRNA	5:75268783-75278253	0	<none>
ENSCAFG00000000451	LGR5	leucine rich repeat containing G protein-coupled receptor 5 [Source:NCBI gene;Acc:609478]	protein_coding	10:13007843-13136998	1	LGR5
ENSCAFG00000001966	SH3RF3	SH3 domain containing ring finger 3 [Source:VGNC Symbol;Acc:VGNC:46134]	protein_coding	10:34376326-34730657	1	SH3RF3
ENSCAFG00000002927	CCDC85A	coiled-coil domain containing 85A [Source:VGNC Symbol;Acc:VGNC:49869]	protein_coding	10:56936376-57120665	1	CCDC85A
ENSCAFG00000019523	APC2	APC regulator of WNT signaling pathway 2 [Source:VGNC Symbol;Acc:VGNC:54573]	protein_coding	20:57380460-57395226	1	APC2
ENSCAFG00000011762	CA14	carbonic anhydrase 14 [Source:VGNC Symbol;Acc:VGNC:38609]	protein_coding	17:59504483-59510127	1	CA14
ENSCAFG00000030076	LMX1B	LIM homeobox transcription factor 1 beta [Source:VGNC Symbol;Acc:VGNC:42729]	protein_coding	9:56542826-56625530	1	LMX1B
ENSCAFG00000011361	COL25A1	collagen type XXV alpha 1 chain [Source:VGNC Symbol;Acc:VGNC:57403]	protein_coding	32:29124996-29567481	1	COL25A1
ENSCAFG00000019790	KCNC4	potassium voltage-gated channel subfamily C member 4 [Source:VGNC Symbol;Acc:VGNC:42238]	protein_coding	6:41738653-41764578	1	KCNC4
ENSCAFG00000019567	RNF207	ring finger protein 207 [Source:VGNC Symbol;Acc:VGNC:45654]	protein_coding	5:60106297-60118670	1	RNF207
ENSCAFG00000016656	AR	androgen receptor [Source:VGNC Symbol;Acc:VGNC:38023]	protein_coding	X:51969785-52151912	1	AR
ENSCAFG00000019824	DPEP1	dipeptidase 1 [Source:VGNC Symbol;Acc:VGNC:49599]	protein_coding	5:63909042-63923492	1	DPEP1
ENSCAFG00000018839	SHISA9	shisa family member 9 [Source:NCBI gene;Acc:100685191]	protein_coding	6:29801904-30083420	1	SHISA9
ENSCAFG00000016726	DRD1	dopamine receptor D1 [Source:VGNC Symbol;Acc:VGNC:40093]	lncRNA	4:37549708-37553287	0	<none>
ENSCAFG00000001866		STEAP family member 1 [Source:NCBI gene;Acc:475222]	protein_coding	14:16074231-16105466	0	<none>
ENSCAFG00000003720	NRCAM	neuronal cell adhesion molecule [Source:VGNC Symbol;Acc:VGNC:43963]	protein_coding	18:12264063-12475230	1	NRCAM
ENSCAFG00000017224	WFIKKN2	WAP, follistatin/kazal, immunoglobulin, kunitz and netrin domain containing 2 [Source:NCBI gene;Acc:491086]	protein_coding	9:26711959-26716348	1	WFIKKN2
ENSCAFG00000006721	RIMBP2	RIMS binding protein 2 [Source:VGNC Symbol;Acc:VGNC:45579]	protein_coding	26:1645591-1744020	1	RIMBP2
ENSCAFG00000003483	KCNF1	potassium voltage-gated channel modifier subfamily F member 1 [Source:VGNC Symbol;Acc:VGNC:42244]	protein_coding	17:7752651-7754153	1	KCNF1
ENSCAFG00000011984	SPP2	secreted phosphoprotein 2 [Source:VGNC Symbol;Acc:VGNC:46757]	protein_coding	25:45372254-45395082	1	SPP2
ENSCAFG00000013690	PAX9	paired box 9 [Source:VGNC Symbol;Acc:VGNC:44280]	protein_coding	8:15221730-15239099	1	PAX9
ENSCAFG00000011725	ATRNL1	attractin like 1 [Source:VGNC Symbol;Acc:VGNC:38296]	protein_coding	28:25768697-26601819	1	ATRNL1
ENSCAFG00000020075		carbohydrate sulfotransferase 6 [Source:NCBI gene;Acc:489707]	protein_coding	5:75278949-75280136	0	<none>
ENSCAFG00000006035	COL6A6	collagen type VI alpha 6 chain [Source:VGNC Symbol;Acc:VGNC:49850]	protein_coding	23:27759103-27900154	1	COL6A6
ENSCAFG00000000568	MAPK8IP2	mitogen-activated protein kinase 8 interacting protein 2 [Source:VGNC Symbol;Acc:VGNC:43002]	protein_coding	10:16702621-16712278	1	MAPK8IP2
ENSCAFG00000017636	PPP4R4	protein phosphatase 4 regulatory subunit 4 [Source:VGNC Symbol;Acc:VGNC:44924]	protein_coding	8:63202553-63299253	1	PPP4R4
ENSCAFG00000004464	SDK2	sidekick cell adhesion molecule 2 [Source:VGNC Symbol;Acc:VGNC:45954]	protein_coding	9:6734504-6867078	1	SDK2
ENSCAFG00000008537	IGSF10	immunoglobulin superfamily member 10 [Source:VGNC Symbol;Acc:VGNC:41913]	protein_coding	23:46002308-46059936	1	IGSF10
ENSCAFG00000000056	CDH7	cadherin 7 [Source:VGNC Symbol;Acc:VGNC:39034]	protein_coding	1:11706673-11824578	1	CDH7
ENSCAFG00000000013	SALL3	spalt like transcription factor 3 [Source:VGNC Symbol;Acc:VGNC:49643]	protein_coding	1:1416390-1435326	1	SALL3
ENSCAFG00000009195	FOXF2	forkhead box F2 [Source:VGNC Symbol;Acc:VGNC:40950]	protein_coding	35:1841123-1846663	1	FOXF2
ENSCAFG00000017807	CRYM	crystallin mu [Source:VGNC Symbol;Acc:VGNC:39648]	protein_coding	6:24187121-24204304	1	CRYM
ENSCAFG00000012198	ABCG4	ATP binding cassette subfamily G member 4 [Source:VGNC Symbol;Acc:VGNC:37453]	protein_coding	5:14707960-14721240	1	ABCG4
ENSCAFG00000014179	ASTN1	astrotactin 1 [Source:VGNC Symbol;Acc:VGNC:38194]	protein_coding	7:22455499-22757029	1	ASTN1
ENSCAFG00000007063	PENK	proenkephalin [Source:VGNC Symbol;Acc:VGNC:54116]	protein_coding	29:7757857-7762398	1	PENK
ENSCAFG00000029313	CLDN1	claudin 1 [Source:VGNC Symbol;Acc:VGNC:39308]	protein_coding	34:22303850-22319033	1	CLDN1
ENSCAFG00000016466	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:VGNC Symbol;Acc:VGNC:37783]	protein_coding	30:23074432-23340030	1	ALDH1A2
ENSCAFG00000006849	TMEM132C	transmembrane protein 132C [Source:VGNC Symbol;Acc:VGNC:47469]	protein_coding	26:2890199-3089300	1	TMEM132C
