gene_id	symbol	description	locus	human_gene_id	human_gene_name
ADGRF1	ADGRF1	adhesion G-protein coupled receptor F1	12:15400749-15534732	266977	ADGRF1
LOC119869020	LOC119869020	uncharacterized gene	8:73323799-73325494	<none>	<none>
ACTG2	ACTG2	"actin, gamma-enteric smooth muscle"	17:49645142-49670439	72	ACTG2
LYZ	LYZ	lysozyme	10:11706255-11710386	4069	LYZ
RETN	RETN	resistin	20:52842073-52843564	56729	RETN
LOC482199	LOC482199	butyrophilin-like protein 10	14:151039-159216	<none>	<none>
NCF1	NCF1	neutrophil cytosol factor 1	6:5619880-5637152	653361	NCF1
LOC119869150	LOC119869150	immunoglobulin lambda-1 light chain-like	26:26641312-27724529	<none>	<none>
RGS18	RGS18	regulator of G-protein signaling 18	38:7349501-7364192	64407	RGS18
PHLDB2	PHLDB2	pleckstrin homology-like domain family B member 2	33:17037057-17254141	90102	PHLDB2
ACKR4	ACKR4	atypical chemokine receptor 4	23:30101484-30106840	51554	ACKR4
MCEMP1	MCEMP1	mast cell-expressed membrane protein 1	20:52849244-52851928	199675	MCEMP1
NLGN4X	NLGN4X	"neuroligin-4, X-linked"	X:3377071-3730877	57502	NLGN4X
CCR1	CCR1	chemokine (C-C motif) receptor 1	20:42827348-42831924	1230	CCR1
CA6	CA6	carbonic anhydrase 6	5:62851948-62873335	765	CA6
MME	MME	membrane metalloendopeptidase	23:49521230-49612145	4311	MME
PADI4	PADI4	protein-arginine deiminase type-4	2:80398999-80428932	23569	PADI4
LACRT	LACRT	extracellular glycoprotein lacritin	27:45920869-45923598	90070	LACRT
C1QTNF3	C1QTNF3	complement C1q tumor necrosis factor-related protein 3	4:74698469-74723846	114899	C1QTNF3
LOC478984	LOC478984	high affinity immunoglobulin gamma Fc receptor I	38:21738473-21748157	<none>	<none>
SCN4B	SCN4B	sodium channel subunit beta-4	5:15569051-15589560	6330	SCN4B
CCN4	CCN4	CCN family member 4	13:30180453-30219020	8840	CCN4
LOC488248	LOC488248	cytidine monophosphate-N-acetylneuraminic acid hydroxylase	35:24483815-24627689	<none>	<none>
TSPAN11	TSPAN11	tetraspanin-11	27:4521780-4596612	441631	TSPAN11
F13A1	F13A1	coagulation factor XIII A chain	35:7481872-7644350	2162	F13A1
LY9	LY9	T-lymphocyte surface antigen Ly-9	38:22351067-22382513	4063	LY9
CCR2	CCR2	C-C chemokine receptor type 2	20:42710738-42719282	<none>	<none>
SIRPB2	SIRPB2	signal-regulatory protein beta-2	24:20061033-20075623	284759	SIRPB2
MMP8	MMP8	neutrophil collagenase	5:29177264-29188014	4317	MMP8
ANGPTL4	ANGPTL4	angiopoietin-related protein 4	20:53349638-53355519	51129	ANGPTL4
DOCK2	DOCK2	dedicator of cytokinesis protein 2	4:42671083-43068964	11/28/04 0:00	DOCK2
LOC119873228	LOC119873228	CMRF35-like molecule 7	9:6706762-6712891	<none>	<none>
VSTM1	VSTM1	V-set and transmembrane domain-containing protein 1	1:103960580-103978532	<none>	<none>
FGF2	FGF2	fibroblast growth factor 2	19:18217074-18293705	2247	FGF2
SPIC	SPIC	transcription factor Spi-C	15:40736098-40746887	121599	SPIC
SLCO2B1	SLCO2B1	solute carrier organic anion transporter family member 2B1	21:23462533-23508286	11309	SLCO2B1
ADAM12	ADAM12	disintegrin and metalloproteinase domain-containing protein 12	28:35517721-35847105	8038	ADAM12
GP9	GP9	platelet glycoprotein IX	20:3055430-3057146	2815	GP9
BIN2	BIN2	bridging integrator 2	27:43058238-43091854	51411	BIN2
DKK3	DKK3	dickkopf WNT signaling pathway inhibitor 3	21:35635088-35675523	27122	DKK3
P3H3	P3H3	prolyl 3-hydroxylase 3	27:7900667-7912837	10536	P3H3
BICC1	BICC1	protein bicaudal C homolog 1	4:11405347-11676261	80114	BICC1
WDR86	WDR86	WD repeat-containing protein 86	16:16111027-16130165	349136	WDR86
CDH2	CDH2	cadherin 2	7:60744933-60958801	1000	CDH2
TAGAP	TAGAP	T-cell activation Rho GTPase-activating protein	1:48873733-48884032	117289	TAGAP
ASPN	ASPN	asporin	1:99603543-99627551	54829	ASPN
CD163	CD163	CD163 molecule	27:8402538-8433169	9332	CD163
LOC119866316	LOC119866316	cationic amino acid transporter 3-like	27:20060503-20084108	<none>	<none>
AASS	AASS	"alpha-aminoadipic semialdehyde synthase, mitochondrial"	14:60081118-60133517	10157	AASS
ARSI	ARSI	arylsulfatase family member I	4:59703267-59708669	340075	ARSI
LOC119863953	LOC119863953	uncharacterized gene	26:27006465-27013099	<none>	<none>
LOC100686261	LOC100686261	cationic amino acid transporter 3-like	27:20529194-20563821	<none>	<none>
ANKRD22	ANKRD22	ankyrin repeat domain-containing protein 22	26:38913305-38935576	118932	ANKRD22
LOC609402	LOC609402	hemoglobin subunit beta-like	21:28611683-28613353	<none>	<none>
LOC102155737	LOC102155737	uncharacterized gene	26:25498688-25499347	<none>	<none>
JAML	JAML	junctional adhesion molecule-like	5:15510292-15538609	120425	JAML
LOC102155534	LOC102155534	"uncharacterized LOC102155534, transcript variant X9"	27:1084525-1089807	<none>	<none>
LOC106559783	LOC106559783	uncharacterized protein LOC106559783	15:13567769-13574741	<none>	<none>
TSPO2	TSPO2	translocator protein 2	12:9983443-9987426	222642	TSPO2
TSPAN33	TSPAN33	tetraspanin-33	14:7416021-7435204	340348	TSPAN33
ARHGAP15	ARHGAP15	rho GTPase-activating protein 15	19:46850717-47460481	55843	ARHGAP15
LOC106560115	LOC106560115	small integral membrane protein 24-like	20:56312330-56313994	<none>	<none>
CAV1	CAV1	caveolin 1	14:55590528-55622125	857	CAV1
CD180	CD180	CD180 antigen	2:51878479-51894980	4064	CD180
LOC608975	LOC608975	CMRF35-like molecule 5	12:10127932-10137717	<none>	<none>
C9H17orf99	C9H17orf99	protein IL-40	9:3883872-3893869	100141515	C17orf99
FERMT3	FERMT3	fermitin family homolog 3	18:53341355-53359153	83706	FERMT3
TFPI2	TFPI2	tissue factor pathway inhibitor 2	14:19358489-19363420	7980	TFPI2
ADAMTS5	ADAMTS5	A disintegrin and metalloproteinase with thrombospondin motifs 5	31:22794062-22841615	11096	ADAMTS5
GNA15	GNA15	guanine nucleotide-binding protein subunit alpha-15	20:56514343-56534807	2769	GNA15
BPI	BPI	bactericidal permeability-increasing protein	24:27339168-27367492	671	BPI
LOXL2	LOXL2	lysyl oxidase homolog 2	25:34259681-34351266	4017	LOXL2
LOC119866110	LOC119866110	uncharacterized gene	26:26903747-26913345	<none>	<none>
GIMAP4	GIMAP4	GTPase IMAP family member 4	16:15537710-15558644	55303	GIMAP4
TNC	TNC	tenascin C	11:69487404-69552684	3371	TNC
CD177	CD177	CD177 antigen	1:112409530-112415468	57126	CD177
LOC100687078	LOC100687078	cationic amino acid transporter 3-like	27:20122846-20142427	<none>	<none>
IGSF6	IGSF6	immunoglobulin superfamily member 6	6:23424318-23434338	10261	IGSF6
IKZF3	IKZF3	zinc finger protein Aiolos	9:22594949-22686455	22806	IKZF3
LOC119866415	LOC119866415	cationic amino acid transporter 3-like	27:20001801-20029109	<none>	<none>
EGF	EGF	epidermal growth factor	32:9723676-9817337	1950	EGF
BRINP1	BRINP1	BMP/retinoic acid-inducible neural-specific protein 1	11:73036446-73206336	1620	BRINP1
LOC119876563	LOC119876563	uncharacterized gene	8:75599528-75600489	<none>	<none>
LOC119877599	LOC119877599	immunoglobulin lambda-1 light chain-like	26:27547236-27701150	<none>	<none>
CDC42EP1	CDC42EP1	cdc42 effector protein 1	10:28016611-28024405	11135	CDC42EP1
ITGAD	ITGAD	integrin subunit alpha D	6:16968289-16993053	<none>	<none>
BCL2L15	BCL2L15	bcl-2-like protein 15	17:52216759-52223148	440603	BCL2L15
RBP7	RBP7	retinoid-binding protein 7	5:63655469-63672446	116362	RBP7
MTUS1	MTUS1	microtubule-associated tumor suppressor 1	16:41842816-42008328	57509	MTUS1
HAPLN3	HAPLN3	hyaluronan and proteoglycan link protein 3	3:52524684-52541966	145864	HAPLN3
HTR1B	HTR1B	5-hydroxytryptamine receptor 1B	12:38869413-38870583	3351	HTR1B
LOC119869125	LOC119869125	uncharacterized gene	0:67928-68980	<none>	<none>
ITGA11	ITGA11	integrin alpha-11	30:32754044-32867329	22801	ITGA11
CD300E	CD300E	CMRF35-like molecule 2	9:6674946-6688532	342510	CD300E
OGN	OGN	mimecan	1:99661321-99681130	4969	OGN
AOAH	AOAH	acyloxyacyl hydrolase	14:47994622-48156180	313	AOAH
IL18	IL18	interleukin 18	5:21018633-21028888	3606	IL18
TAGLN3	TAGLN3	transgelin-3	33:17277135-17290982	29114	TAGLN3
C1QB	C1QB	complement C1q subcomponent subunit B	2:76042588-76047706	713	C1QB
ADA2	ADA2	adenosine deaminase 2	27:1123391-1153447	51816	ADA2
STC1	STC1	stanniocalcin-1	25:33778666-33791304	6781	STC1
LOC607096	LOC607096	integrin alpha-D-like	6:17019621-17045674	<none>	<none>
ADGRE1	ADGRE1	adhesion G protein-coupled receptor E1	20:53803931-53864739	2015	ADGRE1
LOC119869063	LOC119869063	uncharacterized gene	8:73292455-73294832	<none>	<none>
LOC119866215	LOC119866215	uncharacterized gene	26:26940261-27683545	<none>	<none>
LOC100687158	LOC100687158	cationic amino acid transporter 3-like	27:19962736-20028528	<none>	<none>
LOC490399	LOC490399	Fc receptor-like protein 2	7:40431176-40442385	<none>	<none>
LOC612471	LOC612471	carcinoembryonic antigen-related cell adhesion molecule 6	1:113211884-113230853	<none>	<none>
SLA	SLA	src-like-adapter	13:30036353-30122339	6503	SLA
GIMAP6	GIMAP6	GTPase IMAP family member 6	16:15572487-15578655	474344	GIMAP6
SLC37A1	SLC37A1	glucose-6-phosphate exchanger SLC37A1	31:36700173-36775474	54020	SLC37A1
LOC102155623	LOC102155623	uncharacterized protein LOC102155623	18:47626396-47636284	<none>	<none>
BCL6B	BCL6B	B-cell CLL/lymphoma 6 member B protein	5:32257780-32263595	255877	BCL6B
NOSTRIN	NOSTRIN	nostrin	36:13928339-13984817	115677	NOSTRIN
LOC119877559	LOC119877559	uncharacterized gene	26:26468127-26469785	<none>	<none>
STING1	STING1	stimulator of interferon genes protein	2:33908726-33916993	340061	STING1
MBNL3	MBNL3	muscleblind-like protein 3	X:104175327-104289684	55796	MBNL3
TFEC	TFEC	transcription factor EC	14:55102571-55323323	22797	TFEC
SLC2A10	SLC2A10	"solute carrier family 2, facilitated glucose transporter member 10"	24:34526597-34541658	81031	SLC2A10
LOC111090867	LOC111090867	"uncharacterized LOC111090867, transcript variant X4"	18:8499565-8514376	<none>	<none>
BVES	BVES	blood vessel epicardial substance	12:62868831-62907346	11149	BVES
LOC612177	LOC612177	uncharacterized gene	26:26006206-26006877	<none>	<none>
RGS14	RGS14	regulator of G-protein signaling 14	4:36871876-36886282	10636	RGS14
ERBB2	ERBB2	erb-b2 receptor tyrosine kinase 2	9:22713484-22737693	2064	ERBB2
CLEC3B	CLEC3B	tetranectin	20:43731532-43739811	7123	CLEC3B
CLIC3	CLIC3	chloride intracellular channel protein 3	9:48635170-48637460	9022	CLIC3
CD4	CD4	CD4 molecule	27:7845022-7891631	920	CD4
LOC484309	LOC484309	leukocyte immunoglobulin-like receptor subfamily B member 3	1:103754143-103761288	<none>	<none>
WIPF3	WIPF3	WAS/WASL-interacting protein family member 3	14:42732112-42812849	644150	WIPF3
CD244	CD244	natural killer cell receptor 2B4	38:22324134-22350862	51744	CD244
CLEC5A	CLEC5A	C-type lectin domain family 5 member A	16:7027385-7054887	23601	CLEC5A
SIGLEC11	SIGLEC11	sialic acid-binding Ig-like lectin 11	1:107282697-107291783	114132	SIGLEC11
CD79B	CD79B	B-cell antigen receptor complex-associated protein beta chain	9:15081786-15085109	974	CD79B
C1QC	C1QC	complement C1q subcomponent subunit C	2:76052212-76056780	714	C1QC
LOC489707	LOC489707	carbohydrate sulfotransferase 6	5:75842944-75856924	<none>	<none>
LOC484314	LOC484314	"T-cell-interacting, activating receptor on myeloid cells protein 1-like"	1:103945330-103950941	<none>	<none>
CYP1A1	CYP1A1	cytochrome P450 1A1	30:38232580-38238845	<none>	<none>
LOC102154873	LOC102154873	"uncharacterized LOC102154873, transcript variant X4"	27:14114959-14181172	<none>	<none>
LOC491494	LOC491494	uncharacterized gene	0:86864-87453	<none>	<none>
ATP8B1	ATP8B1	phospholipid-transporting ATPase IC	1:18261266-18383909	5205	ATP8B1
TWIST1	TWIST1	twist-related protein 1	14:33429893-33431914	7291	TWIST1
CSF2RA	CSF2RA	granulocyte-macrophage colony-stimulating factor receptor subunit alpha	X:748192-771608	1438	CSF2RA
CASP4	CASP4	"caspase 4, apoptosis-related cysteine peptidase"	5:27257464-27271644	<none>	<none>
LOC486644	LOC486644	cationic amino acid transporter 3-like	27:20643164-20647560	<none>	<none>
LY86	LY86	lymphocyte antigen 86	35:7922551-7981724	9450	LY86
MUC13	MUC13	mucin-13	33:28619194-28653174	56667	MUC13
LOC119864776	LOC119864776	"uncharacterized LOC119864776, transcript variant X2"	20:55289789-55307033	<none>	<none>
S100A16	S100A16	protein S100-A16	7:43436925-43442138	140576	S100A16
GLRB	GLRB	glycine receptor subunit beta	15:54812663-54904694	2743	GLRB
TCN1	TCN1	transcobalamin-1	21:51298999-51311886	6947	TCN1
LOC100686511	LOC100686511	myeloid cell surface antigen CD33	1:106339280-106348950	<none>	<none>
NFAM1	NFAM1	NFAT activation molecule 1	10:23965664-24004667	150372	NFAM1
LOC100855540	LOC100855540	hemoglobin subunit alpha-like	6:40795235-40796286	<none>	<none>
HSPB8	HSPB8	heat shock protein family B (small) member 8	26:15685151-15697445	26353	HSPB8
CD2	CD2	T-cell surface antigen CD2	17:54699355-54711821	914	CD2
LOC486765	LOC486765	cationic amino acid transporter 3-like	27:20594732-20604023	<none>	<none>
LOC119869103	LOC119869103	uncharacterized gene	0:32596-32956	<none>	<none>
SULT1D1	SULT1D1	sulfotransferase 1 family member D1	13:60286206-60322460	<none>	<none>
TLR4	TLR4	toll like receptor 4	11:71767611-71778394	7099	TLR4
KCNMB1	KCNMB1	potassium calcium-activated channel subfamily M regulatory beta subunit 1	4:42430404-42436172	3779	KCNMB1
PRSS35	PRSS35	inactive serine protease 35	12:44111376-44125820	167681	PRSS35
ARNTL2	ARNTL2	aryl hydrocarbon receptor nuclear translocator-like protein 2	27:26131070-26254445	56938	BMAL2
LOC111090004	LOC111090004	"uncharacterized LOC111090004, transcript variant X5"	5:12124522-12140622	<none>	<none>
ZNF469	ZNF469	zinc finger protein 469	5:65370098-65382853	84627	ZNF469
UNC13D	UNC13D	protein unc-13 homolog D	9:5633988-5647426	201294	UNC13D
DDX60	DDX60	probable ATP-dependent RNA helicase DDX60	15:64122356-64214849	55601	DDX60
KCNJ10	KCNJ10	ATP-sensitive inward rectifier potassium channel 10	38:22944114-22972999	3766	KCNJ10
LOC612180	LOC612180	immunoglobulin lambda variable 1-40	26:26049883-26050542	<none>	<none>
ELOVL4	ELOVL4	elongation of very long chain fatty acids protein 4	12:41049872-41081359	6785	ELOVL4
BCL2L14	BCL2L14	apoptosis facilitator Bcl-2-like protein 14	27:11960732-11997624	79370	BCL2L14
MRGPRF	MRGPRF	MAS related GPR family member F	18:49460520-49468710	116535	MRGPRF
TEAD3	TEAD3	transcriptional enhancer factor TEF-5	12:4788248-4810321	7005	TEAD3
ITGAX	ITGAX	integrin alpha-X	6:17057566-17086388	3687	ITGAX
TEAD1	TEAD1	transcriptional enhancer factor TEF-1	21:36273664-36543422	7003	TEAD1
FGD2	FGD2	"FYVE, RhoGEF and PH domain-containing protein 2"	12:6250596-6273316	221472	FGD2
ZBP1	ZBP1	Z-DNA-binding protein 1	24:43325535-43337462	81030	ZBP1
CXCR2	CXCR2	C-X-C motif chemokine receptor 2	37:24714358-24719785	3579	CXCR2
PTN	PTN	pleiotrophin	16:10950643-11051479	5764	PTN
NOL4	NOL4	nucleolar protein 4	7:55459157-55980811	8715	NOL4
WNT5A	WNT5A	Wnt family member 5A	20:35066932-35077922	7474	WNT5A
SPTA1	SPTA1	"spectrin alpha chain, erythrocytic 1"	38:23912752-23979956	6708	SPTA1
GFI1	GFI1	growth factor independent 1 transcriptional repressor	6:56970884-56980018	2672	GFI1
LOC119876514	LOC119876514	uncharacterized gene	8:74101022-74101883	<none>	<none>
CILP2	CILP2	cartilage intermediate layer protein 2	20:44114253-44123266	148113	CILP2
IL18RAP	IL18RAP	interleukin-18 receptor accessory protein	10:41632829-41660098	8807	IL18RAP
DMPK	DMPK	myotonin-protein kinase	1:110536417-110547165	1760	DMPK
PDCD1	PDCD1	programmed cell death 1	25:51676302-51686322	5133	PDCD1
C1QTNF5	C1QTNF5	complement C1q tumor necrosis factor-related protein 5	5:14587647-14589033	114902	C1QTNF5
ST6GAL2	ST6GAL2	"beta-galactoside alpha-2,6-sialyltransferase 2"	10:37958775-38034449	84620	ST6GAL2
C1QA	C1QA	complement C1q subcomponent subunit A	2:76060247-76063252	712	C1QA
LOC119866222	LOC119866222	uncharacterized gene	26:26189057-26189675	<none>	<none>
NMNAT3	NMNAT3	nicotinamide/nicotinic acid mononucleotide adenylyltransferase 3	23:36249065-36363588	349565	NMNAT3
LOC119878488	LOC119878488	transcobalamin-1-like	0:45610-58527	<none>	<none>
MILR1	MILR1	allergin-1	9:14658477-14674027	284021	MILR1
LOC119877603	LOC119877603	uncharacterized gene	26:26165953-26166585	<none>	<none>
TRPC6	TRPC6	short transient receptor potential channel 6	5:30042168-30153079	7225	TRPC6
VPREB3	VPREB3	pre-B lymphocyte protein 3	26:28841578-28844021	29802	VPREB3
F2RL3	F2RL3	proteinase-activated receptor 4	20:46146994-46149271	9002	F2RL3
COL27A1	COL27A1	collagen alpha-1(XXVII) chain	11:68822715-68957841	85301	COL27A1
HBM	HBM	hemoglobin subunit mu	6:40802012-40802732	3042	HBM
C1QTNF2	C1QTNF2	complement C1q tumor necrosis factor-related protein 2	4:51240059-51260605	114898	C1QTNF2
PLBD1	PLBD1	phospholipase B-like 1	27:14098538-14149153	79887	PLBD1
CMA1	CMA1	chymase 1	8:4564103-4567048	1215	CMA1
GREM1	GREM1	gremlin-1	30:2496103-2508404	26585	GREM1
PTGIS	PTGIS	prostacyclin synthase	24:36750911-36791264	5740	PTGIS
AQP9	AQP9	aquaporin-9	30:23540476-23589012	366	AQP9
SGCA	SGCA	alpha-sarcoglycan	9:26115697-26129096	6442	SGCA
CCN2	CCN2	CCN family member 2	1:25137679-25140601	1490	CCN2
LOC119877170	LOC119877170	uncharacterized gene	17:37820501-37821347	<none>	<none>
AADACL2	AADACL2	arylacetamide deacetylase-like 2	23:46837465-46860219	344752	AADACL2
MFAP2	MFAP2	microfibrillar-associated protein 2	2:80701361-80707780	4237	MFAP2
KLF1	KLF1	Krueppel-like factor 1	20:49692152-49695675	10661	KLF1
ELFN1	ELFN1	protein ELFN1	6:15419852-15486761	392617	ELFN1
NDN	NDN	necdin	3:36617808-36619491	4692	NDN
GPM6A	GPM6A	neuronal membrane glycoprotein M6-a	16:54556465-54887736	2823	GPM6A
ITGAL	ITGAL	integrin alpha-L	6:17765852-17806699	3683	ITGAL
CAMK2A	CAMK2A	calcium/calmodulin-dependent protein kinase type II subunit alpha	4:59715947-59780872	815	CAMK2A
ELANE	ELANE	"elastase, neutrophil expressed"	20:58268788-58270676	1991	ELANE
LOC102156672	LOC102156672	"uncharacterized LOC102156672, transcript variant X2"	X:1306448-1319018	<none>	<none>
AFF2	AFF2	AF4/FMR2 family member 2	X:117807028-118275870	2334	AFF2
LOC106559612	LOC106559612	"T-cell-interacting, activating receptor on myeloid cells protein 1-like"	1:103866094-103894229	<none>	<none>
CP	CP	ceruloplasmin	23:44486640-44550551	1356	CP
LOC480788	LOC480788	uncharacterized gene	16:6540311-6547906	<none>	<none>
LOC119869121	LOC119869121	uncharacterized gene	0:229618-230234	<none>	<none>
MAP1B	MAP1B	microtubule-associated protein 1B	2:54410527-54493742	4131	MAP1B
CD3E	CD3E	T-cell surface glycoprotein CD3 epsilon chain	5:15428916-15440314	916	CD3E
TPC3	TPC3	two pore segment channel 3	17:35340061-35381239	<none>	<none>
FLRT2	FLRT2	leucine-rich repeat transmembrane protein FLRT2	8:57560012-57660315	23768	FLRT2
LOC475935	LOC475935	interferon-induced transmembrane protein 1-like	18:25836658-25837846	<none>	<none>
PILRA	PILRA	paired immunoglobulin-like type 2 receptor alpha	6:9217961-9235564	29992	PILRA
MSR1	MSR1	macrophage scavenger receptor types I and II	16:40253347-40331889	4481	MSR1
VSIG4	VSIG4	V-set and immunoglobulin domain-containing protein 4	X:51013686-51073693	11326	VSIG4
CD300LF	CD300LF	CMRF35-like molecule 1	9:6580677-6594632	146722	CD300LF
LOC106558104	LOC106558104	"uncharacterized LOC106558104, transcript variant X1"	31:33238222-33242239	<none>	<none>
NTN4	NTN4	netrin-4	15:35822731-35945599	59277	NTN4
CLEC1B	CLEC1B	C-type lectin domain family 9 member A	27:10186485-10226204	<none>	<none>
ACKR1	ACKR1	atypical chemokine receptor 1	38:23616605-23618488	2532	ACKR1
EDNRA	EDNRA	endothelin receptor type A	15:46175034-46225816	1909	EDNRA
LOC119879337	LOC119879337	uncharacterized gene	0:24240-24899	<none>	<none>
PKHD1L1	PKHD1L1	fibrocystin-L	13:10155024-10302902	93035	PKHD1L1
PAQR9	PAQR9	membrane progestin receptor epsilon	23:39075004-39083728	344838	PAQR9
IGFBPL1	IGFBPL1	insulin-like growth factor-binding protein-like 1	11:54921804-54939126	347252	IGFBPL1
MEFV	MEFV	pyrin	6:38410844-38430317	4210	MEFV
RHBDL2	RHBDL2	rhomboid-related protein 2	15:3877831-3927025	54933	RHBDL2
DLA-DOA	DLA-DOA	"HLA class II histocompatibility antigen, DO alpha chain-like"	12:2718589-2723244	<none>	<none>
ANKRD63	ANKRD63	ankyrin repeat domain-containing protein 63	30:7750061-7752502	100131244	ANKRD63
EYA2	EYA2	eyes absent homolog 2	24:34666914-34930928	2139	EYA2
MEIS3	MEIS3	homeobox protein Meis3	1:109297342-109308902	56917	MEIS3
ART4	ART4	ecto-ADP-ribosyltransferase 4	27:14385892-14405360	420	ART4
CD300LG	CD300LG	CMRF35-like molecule 9	9:19326508-19339635	146894	CD300LG
GJB3	GJB3	gap junction beta-3 protein	15:7244564-7249909	2707	GJB3
LOC119864138	LOC119864138	uncharacterized LOC119864138	18:49168954-49184830	<none>	<none>
SUCNR1	SUCNR1	succinate receptor 1	23:46964658-46972636	56670	SUCNR1
FST	FST	follistatin	4:62695162-62701588	10468	FST
NCS1	NCS1	neuronal calcium sensor 1	9:53749027-53798770	23413	NCS1
DSEL	DSEL	dermatan-sulfate epimerase-like protein	1:10374160-10382631	92126	DSEL
UNC5CL	UNC5CL	UNC5C-like protein	12:9970656-9982941	222643	UNC5CL
SYTL3	SYTL3	synaptotagmin-like protein 3	1:48559600-48653168	94120	SYTL3
RFTN2	RFTN2	raftlin-2	37:6953877-7033880	130132	RFTN2
TGFA	TGFA	protransforming growth factor alpha	10:70213444-70290872	7039	TGFA
LPAR5	LPAR5	lysophosphatidic acid receptor 5	27:7692698-7702727	57121	LPAR5
LOC119866113	LOC119866113	uncharacterized gene	26:27175867-27198955	<none>	<none>
TBX15	TBX15	T-box transcription factor TBX15	17:56610873-56721034	6913	TBX15
TLR8	TLR8	toll-like receptor 8	X:9349380-9367898	51311	TLR8
LOC119877129	LOC119877129	antimicrobial peptide NK-lysin-like	17:39649949-39653789	<none>	<none>
LMOD1	LMOD1	leiomodin-1	7:1152832-1188079	25802	LMOD1
LOC111092789	LOC111092789	uncharacterized protein LOC111092789	2:60249469-60310226	<none>	<none>
