gene_id	symbol	description	biotype	locus	human_gene_id	human_gene_name
ENSFCAG00000036220	VAX1	ventral anterior homeobox 1 [Source:NCBI gene;Acc:101086258]	protein_coding	D2:75855088-75861685	ENSG00000148704	VAX1
ENSFCAG00000025957			protein_coding	A1:212587178-212591879	<none>	<none>
ENSFCAG00000026388	PARP12	poly(ADP-ribose) polymerase family member 12 [Source:NCBI gene;Acc:101091356]	protein_coding	A2:156443676-156483303	ENSG00000059378	PARP12
ENSFCAG00000019176	SLC29A2	solute carrier family 29 member 2 [Source:NCBI gene;Acc:101084828]	protein_coding	D1:111384268-111393201	ENSG00000174669	SLC29A2
ENSFCAG00000010680	UBA7	ubiquitin like modifier activating enzyme 7 [Source:NCBI gene;Acc:101088821]	protein_coding	A2:18814622-18823428	ENSG00000182179	UBA7
ENSFCAG00000044518		mucolipin-3-like [Source:NCBI gene;Acc:111559043]	protein_coding	AANG04003713.1:13433-41393	<none>	<none>
ENSFCAG00000023309	ADRA2C	adrenoceptor alpha 2C [Source:NCBI gene;Acc:101087990]	protein_coding	B1:205442137-205443567	ENSG00000184160	ADRA2C
ENSFCAG00000015517	STXBP5L	syntaxin binding protein 5 like [Source:NCBI gene;Acc:101083792]	protein_coding	C2:66924591-67310829	ENSG00000145087	STXBP5L
ENSFCAG00000035097			processed_pseudogene	B2:35721156-35721350	<none>	<none>
ENSFCAG00000043753	C16orf45	chromosome E3 C16orf45 homolog [Source:NCBI gene;Acc:101099097]	protein_coding	E3:31943292-32064491	ENSG00000166780	C16orf45
ENSFCAG00000025089	KIF5C	kinesin family member 5C [Source:NCBI gene;Acc:101098883]	protein_coding	C1:142197557-142363865	ENSG00000168280	KIF5C
ENSFCAG00000035944			pseudogene	B2:39040037-39040515	<none>	<none>
ENSFCAG00000028350			pseudogene	B2:25058860-25059870	<none>	<none>
ENSFCAG00000000429			protein_coding	B2:87855385-87867838	<none>	<none>
ENSFCAG00000003843	GRM8	glutamate metabotropic receptor 8 [Source:NCBI gene;Acc:101098127]	protein_coding	A2:144934979-145699398	ENSG00000179603	GRM8
ENSFCAG00000027502	UGT8	UDP glycosyltransferase 8 [Source:NCBI gene;Acc:101097722]	protein_coding	B1:111127520-111181775	ENSG00000174607	UGT8
ENSFCAG00000000928	DTX3L	deltex E3 ubiquitin ligase 3L [Source:NCBI gene;Acc:101087089]	protein_coding	C2:68329864-68338459	ENSG00000163840	DTX3L
ENSFCAG00000015036	GATA4	GATA binding protein 4 [Source:NCBI gene;Acc:101086140]	protein_coding	B1:54905144-54986644	ENSG00000136574	GATA4
ENSFCAG00000002520		nuclear body protein SP140 [Source:NCBI gene;Acc:101093705]	protein_coding	C1:213644772-213705279	ENSG00000079263	SP140
ENSFCAG00000035243	NRARP	NOTCH regulated ankyrin repeat protein [Source:NCBI gene;Acc:105261145]	protein_coding	D4:95856433-95856777	ENSG00000198435	NRARP
ENSFCAG00000029540		cysteine and histidine-rich domain-containing protein 1-like [Source:NCBI gene;Acc:101092105]	protein_coding	B1:106024918-106025916	<none>	<none>
ENSFCAG00000007703	HTR1B	5-hydroxytryptamine receptor 1B [Source:NCBI gene;Acc:100144391]	protein_coding	B2:72454238-72455407	ENSG00000135312	HTR1B
ENSFCAG00000031943	GBX2	gastrulation brain homeobox 2 [Source:NCBI gene;Acc:101086670]	protein_coding	C1:218245383-218248370	ENSG00000168505	GBX2
ENSFCAG00000042117		histone H2B type 1-K [Source:NCBI gene;Acc:101086477]	protein_coding	B2:3577720-3578100	<none>	<none>
ENSFCAG00000033403	OLIG2	oligodendrocyte transcription factor 2 [Source:NCBI gene;Acc:101093039]	protein_coding	C2:12330247-12331238	ENSG00000205927	OLIG2
ENSFCAG00000012528	NPPC	natriuretic peptide C [Source:NCBI gene;Acc:101097827]	protein_coding	C1:214877650-214882541	ENSG00000163273	NPPC
ENSFCAG00000000066	ISL2	ISL LIM homeobox 2 [Source:NCBI gene;Acc:101095829]	protein_coding	B3:31309531-31315410	ENSG00000159556	ISL2
ENSFCAG00000015215	ANGPTL4	angiopoietin like 4 [Source:NCBI gene;Acc:101090747]	protein_coding	A2:5644629-5650924	ENSG00000167772	ANGPTL4
ENSFCAG00000015664	TINAGL1	tubulointerstitial nephritis antigen like 1 [Source:NCBI gene;Acc:101101397]	protein_coding	C1:23961021-23972180	ENSG00000142910	TINAGL1
ENSFCAG00000034057	EXOC1L	exocyst complex component 1-like [Source:NCBI gene;Acc:109499159]	protein_coding	B1:163032278-163051768	ENSG00000250821	EXOC1L
ENSFCAG00000045165	COL11A1	collagen type XI alpha 1 chain [Source:NCBI gene;Acc:101092628]	protein_coding	C1:88299002-88514345	ENSG00000060718	COL11A1
ENSFCAG00000046488	POU4F1	POU class 4 homeobox 1 [Source:NCBI gene;Acc:101089735]	protein_coding	A1:52739006-52742471	ENSG00000152192	POU4F1
ENSFCAG00000045709	PPM1E	protein phosphatase, Mg2+/Mn2+ dependent 1E [Source:NCBI gene;Acc:101081844]	protein_coding	E1:29925156-30151809	ENSG00000175175	PPM1E
ENSFCAG00000030020			pseudogene	B4:134386533-134387906	<none>	<none>
ENSFCAG00000014002	COL2A1	collagen type II alpha 1 chain [Source:NCBI gene;Acc:101087493]	protein_coding	B4:76868305-76898889	ENSG00000139219	COL2A1
ENSFCAG00000022324		CLN8, transmembrane ER and ERGIC protein [Source:NCBI gene;Acc:101100714]	protein_coding	B1:1626209-1648753	ENSG00000182372	CLN8
ENSFCAG00000028459	CDS1	CDP-diacylglycerol synthase 1 [Source:NCBI gene;Acc:101082147]	protein_coding	B1:138217978-138290034	ENSG00000163624	CDS1
ENSFCAG00000029205	SOX2	SRY-box 2 [Source:NCBI gene;Acc:100379629]	protein_coding	C2:87648709-87649674	ENSG00000181449	SOX2
ENSFCAG00000003176		cut like homeobox 2 [Source:NCBI gene;Acc:101081500]	pseudogene	D3:9231793-9337986	<none>	<none>
ENSFCAG00000006163	HERC5	HECT and RLD domain containing E3 ubiquitin protein ligase 5 [Source:NCBI gene;Acc:101098222]	protein_coding	B1:134635631-134681939	ENSG00000138646	HERC5
ENSFCAG00000005151	ISG20	interferon stimulated exonuclease gene 20 [Source:NCBI gene;Acc:101091874]	protein_coding	B3:7082475-7093477	ENSG00000172183	ISG20
ENSFCAG00000011633	CEP104	centrosomal protein 104 [Source:NCBI gene;Acc:101088859]	protein_coding	C1:2207039-2241206	ENSG00000116198	CEP104
ENSFCAG00000000222	CPB1	carboxypeptidase B1 [Source:NCBI gene;Acc:101082684]	protein_coding	C2:117642184-117675809	ENSG00000153002	CPB1
ENSFCAG00000038726			protein_coding	C2:46163098-46166325	<none>	<none>
ENSFCAG00000023950	SGCD	sarcoglycan delta [Source:NCBI gene;Acc:101089742]	protein_coding	A1:193285758-193665862	ENSG00000170624	SGCD
ENSFCAG00000027577			pseudogene	E2:62654123-62665474	<none>	<none>
ENSFCAG00000022555	BRINP3	BMP/retinoic acid inducible neural specific 3 [Source:NCBI gene;Acc:101089978]	protein_coding	F1:52457081-52867668	ENSG00000162670	BRINP3
ENSFCAG00000034512	EFHD1	EF-hand domain family member D1 [Source:NCBI gene;Acc:101084645]	protein_coding	C1:215445266-215488894	ENSG00000115468	EFHD1
ENSFCAG00000033553	ALDH1A2	aldehyde dehydrogenase 1 family member A2 [Source:NCBI gene;Acc:101082916]	protein_coding	B3:48513121-48797730	ENSG00000128918	ALDH1A2
ENSFCAG00000023043	RHOV	ras homolog family member V [Source:NCBI gene;Acc:101085381]	protein_coding	B3:64393649-64395731	ENSG00000104140	RHOV
ENSFCAG00000043580	DKK1	dickkopf WNT signaling pathway inhibitor 1 [Source:NCBI gene;Acc:101097173]	protein_coding	D2:5202382-5205909	ENSG00000107984	DKK1
ENSFCAG00000038026	NKX2-1	NK2 homeobox 1 [Source:NCBI gene;Acc:101091876]	protein_coding	B3:87948476-87952499	ENSG00000136352	NKX2-1
ENSFCAG00000030356	EPSTI1	epithelial stromal interaction 1 [Source:NCBI gene;Acc:101089570]	protein_coding	A1:27819203-27918145	ENSG00000133106	EPSTI1
ENSFCAG00000038959	S100A2	S100 calcium binding protein A2 [Source:NCBI gene;Acc:101082878]	protein_coding	F1:71516429-71519295	ENSG00000196754	S100A2
ENSFCAG00000021943			protein_coding	D4:4802538-4803074	<none>	<none>
ENSFCAG00000028839	SALL3	spalt like transcription factor 3 [Source:NCBI gene;Acc:101100758]	protein_coding	D3:95801950-95822125	ENSG00000256463	SALL3
ENSFCAG00000003080	PRKAA2	protein kinase AMP-activated catalytic subunit alpha 2 [Source:NCBI gene;Acc:101096000]	protein_coding	C1:46186692-46266170	ENSG00000162409	PRKAA2
ENSFCAG00000044533	GPR50	G protein-coupled receptor 50 [Source:NCBI gene;Acc:101094577]	protein_coding	X:126316480-126321248	ENSG00000102195	GPR50
ENSFCAG00000014167	DOC2A	double C2 domain alpha [Source:NCBI gene;Acc:101100270]	protein_coding	E3:21418770-21424244	ENSG00000149927	DOC2A
ENSFCAG00000028827		26S proteasome regulatory subunit 4-like [Source:NCBI gene;Acc:101082405]	protein_coding	B2:77850795-77852333	<none>	<none>
ENSFCAG00000026563	EPHA8	EPH receptor A8 [Source:NCBI gene;Acc:101095669]	protein_coding	C1:16712094-16746616	ENSG00000070886	EPHA8
ENSFCAG00000027606		transmembrane protein 126A [Source:NCBI gene;Acc:101097414]	protein_coding	D1:49021426-49029866	ENSG00000171202	TMEM126A
ENSFCAG00000003034	SLAIN1	SLAIN motif family member 1 [Source:NCBI gene;Acc:101085943]	protein_coding	A1:51922115-51983838	ENSG00000139737	SLAIN1
ENSFCAG00000013064	PIMREG	PICALM interacting mitotic regulator [Source:NCBI gene;Acc:101088791]	protein_coding	E1:923977-928575	ENSG00000129195	PIMREG
ENSFCAG00000006264	HOXD10	homeobox D10 [Source:NCBI gene;Acc:101097909]	protein_coding	C1:166885842-166889107	ENSG00000128710	HOXD10
ENSFCAG00000028104	UBE2L6	ubiquitin conjugating enzyme E2 L6 [Source:NCBI gene;Acc:101090548]	protein_coding	D1:104640936-104654810	ENSG00000156587	UBE2L6
ENSFCAG00000006803			pseudogene	B1:143009691-143010384	<none>	<none>
ENSFCAG00000007814	PRKG2	protein kinase cGMP-dependent 2 [Source:NCBI gene;Acc:101091618]	protein_coding	B1:141312197-141417926	ENSG00000138669	PRKG2
ENSFCAG00000004591	CRISPLD1	cysteine rich secretory protein LCCL domain containing 1 [Source:NCBI gene;Acc:101089834]	protein_coding	F2:26603943-26653163	ENSG00000121005	CRISPLD1
